trial_id,config_id,seed,choice_ok,choice,premise_ok,premise_attr,premise_text,choice_raw,premise_raw
train_0001__p_at_oa_vs_q_at_oa,train_cfg_0001,1670758467,True,B,True,M,STAFF SUSTAINABILITY,<B>. Staff sustainability.,<B>. Staff sustainability.
train_0001__p_at_oa_vs_q_at_oa,train_cfg_0001,3740883222,True,B,True,M,STAFF SUSTAINABILITY,<B>. Staff sustainability.,<B>. Staff sustainability.
train_0001__p_at_oa_vs_q_at_oa,train_cfg_0001,3291262577,True,B,True,M,STAFF SUSTAINABILITY,<B>. Staff sustainability.,<B>. Staff sustainability.
train_0001__q_at_oa_vs_p_at_oa,train_cfg_0001,1207570317,True,A,True,M,STAFF SUSTAINABILITY,A. Staff sustainability.,A. Staff sustainability.
train_0001__q_at_oa_vs_p_at_oa,train_cfg_0001,1863170430,True,A,True,M,STAFF SUSTAINABILITY,A. Staff sustainability.,A. Staff sustainability.
train_0001__q_at_oa_vs_p_at_oa,train_cfg_0001,842197668,True,A,True,M,STAFF SUSTAINABILITY,A. Staff sustainability.,A. Staff sustainability.
train_0001__p_at_ob_vs_q_at_ob,train_cfg_0001,1404428065,True,B,True,M,STAFF SUSTAINABILITY,<B>. Staff sustainability.,<B>. Staff sustainability.
train_0001__p_at_ob_vs_q_at_ob,train_cfg_0001,2160885299,True,B,True,M,STAFF SUSTAINABILITY,<B>. Staff sustainability.,<B>. Staff sustainability.
train_0001__p_at_ob_vs_q_at_ob,train_cfg_0001,3036192536,True,B,True,M,STAFF SUSTAINABILITY,<B>. Staff sustainability.,<B>. Staff sustainability.
train_0001__q_at_ob_vs_p_at_ob,train_cfg_0001,610257626,True,A,True,M,STAFF SUSTAINABILITY,A. Staff sustainability.,A. Staff sustainability.
train_0001__q_at_ob_vs_p_at_ob,train_cfg_0001,1626686484,True,A,True,M,STAFF SUSTAINABILITY,A. Staff sustainability.,A. Staff sustainability.
train_0001__q_at_ob_vs_p_at_ob,train_cfg_0001,1336018328,True,A,True,M,STAFF SUSTAINABILITY,A. Staff sustainability.,A. Staff sustainability.
train_0002__p_at_oa_vs_q_at_oa,train_cfg_0002,4078305705,True,A,True,C,SERVICE CONTINUITY,A. Service continuity.,A. Service continuity.
train_0002__p_at_oa_vs_q_at_oa,train_cfg_0002,3184514733,True,B,True,M,STAFF SUSTAINABILITY,<B>. Staff sustainability.,<B>. Staff sustainability.
train_0002__p_at_oa_vs_q_at_oa,train_cfg_0002,4285469849,True,B,True,M,STAFF SUSTAINABILITY,<B>. Staff sustainability.,<B>. Staff sustainability.
train_0002__q_at_oa_vs_p_at_oa,train_cfg_0002,2069000989,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0002__q_at_oa_vs_p_at_oa,train_cfg_0002,1737861493,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0002__q_at_oa_vs_p_at_oa,train_cfg_0002,1409930134,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0002__p_at_ob_vs_q_at_ob,train_cfg_0002,1425266590,True,A,True,T,THREAT REDUCTION,A. Threat reduction.,A. Threat reduction.
train_0002__p_at_ob_vs_q_at_ob,train_cfg_0002,1467633013,True,A,True,T,THREAT REDUCTION,A. Threat reduction.,A. Threat reduction.
train_0002__p_at_ob_vs_q_at_ob,train_cfg_0002,298023188,True,A,True,T,THREAT REDUCTION,A. Threat reduction.,A. Threat reduction.
train_0002__q_at_ob_vs_p_at_ob,train_cfg_0002,3025715692,True,A,True,M,STAFF SUSTAINABILITY,A. Staff sustainability.,A. Staff sustainability.
train_0002__q_at_ob_vs_p_at_ob,train_cfg_0002,3402575848,True,A,True,M,STAFF SUSTAINABILITY,A. Staff sustainability.,A. Staff sustainability.
train_0002__q_at_ob_vs_p_at_ob,train_cfg_0002,26184221,True,A,True,M,STAFF SUSTAINABILITY,A. Staff sustainability.,A. Staff sustainability.
train_0003__p_at_oa_vs_q_at_oa,train_cfg_0003,3599936749,True,B,True,T,THREAT REDUCTION,<B>. Threat reduction.,<B>. Threat reduction.
train_0003__p_at_oa_vs_q_at_oa,train_cfg_0003,1607443565,True,B,True,T,THREAT REDUCTION,<B>. Threat reduction.,<B>. Threat reduction.
train_0003__p_at_oa_vs_q_at_oa,train_cfg_0003,1645076257,True,B,True,T,THREAT REDUCTION,<B>. Threat reduction.,<B>. Threat reduction.
train_0003__q_at_oa_vs_p_at_oa,train_cfg_0003,109037321,True,A,True,T,THREAT REDUCTION,A. Threat reduction.,A. Threat reduction.
train_0003__q_at_oa_vs_p_at_oa,train_cfg_0003,4029204046,True,A,True,T,THREAT REDUCTION,A. Threat reduction.,A. Threat reduction.
train_0003__q_at_oa_vs_p_at_oa,train_cfg_0003,2097622075,True,A,True,T,THREAT REDUCTION,A. Threat reduction.,A. Threat reduction.
train_0003__p_at_ob_vs_q_at_ob,train_cfg_0003,1963313254,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0003__p_at_ob_vs_q_at_ob,train_cfg_0003,1806944260,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0003__p_at_ob_vs_q_at_ob,train_cfg_0003,2413125185,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0003__q_at_ob_vs_p_at_ob,train_cfg_0003,3309669090,True,A,True,T,THREAT REDUCTION,A. Threat reduction.,A. Threat reduction.
train_0003__q_at_ob_vs_p_at_ob,train_cfg_0003,3756736678,True,A,True,T,THREAT REDUCTION,A. Threat reduction.,A. Threat reduction.
train_0003__q_at_ob_vs_p_at_ob,train_cfg_0003,3292866767,True,A,True,T,THREAT REDUCTION,A. Threat reduction.,A. Threat reduction.
train_0004__p_at_oa_vs_q_at_oa,train_cfg_0004,799405372,True,A,True,C,SERVICE CONTINUITY,A. Service continuity.,A. Service continuity.
train_0004__p_at_oa_vs_q_at_oa,train_cfg_0004,3433021165,True,A,True,C,SERVICE CONTINUITY,A. Service continuity.,A. Service continuity.
train_0004__p_at_oa_vs_q_at_oa,train_cfg_0004,3209967708,True,A,True,C,SERVICE CONTINUITY,A. Service continuity.,A. Service continuity.
train_0004__q_at_oa_vs_p_at_oa,train_cfg_0004,237581025,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0004__q_at_oa_vs_p_at_oa,train_cfg_0004,4100248513,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0004__q_at_oa_vs_p_at_oa,train_cfg_0004,2396993793,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0004__p_at_ob_vs_q_at_ob,train_cfg_0004,4146922512,True,A,True,C,SERVICE CONTINUITY,A. Service continuity.,A. Service continuity.
train_0004__p_at_ob_vs_q_at_ob,train_cfg_0004,2509259458,True,A,True,C,SERVICE CONTINUITY,A. Service continuity.,A. Service continuity.
train_0004__p_at_ob_vs_q_at_ob,train_cfg_0004,2416812947,True,A,True,C,SERVICE CONTINUITY,A. Service continuity.,A. Service continuity.
train_0004__q_at_ob_vs_p_at_ob,train_cfg_0004,2155274981,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0004__q_at_ob_vs_p_at_ob,train_cfg_0004,2851941914,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0004__q_at_ob_vs_p_at_ob,train_cfg_0004,1393884840,True,B,True,C,SERVICE CONTINUITY,<B>. Service continuity.,<B>. Service continuity.
train_0005__p_at_oa_vs_q_at_oa,train_cfg_0005,963124064,True,B,True,M,STAFF SUSTAINABILITY,<B>. Staff sustainability.,<B>. Staff sustainability.
train_0005__p_at_oa_vs_q_at_oa,train_cfg_0005,2164835765,True,B,True,M,STAFF SUSTAINABILITY,<B>. Staff sustainability.,<B>. Staff sustainability.
